"alteration"	"cis"	"mediated_trans"	"mediated_trans_weighted"	"total_trans"	"frac_mediated_trans"	"frac_mediated_trans_weighted"	"num_path_h.all.v5.0.symbols"	"num_path_c2.cp.v5.0.symbols"	"num_path_c3.tft.v5.0.symbols"	"paths_h.all.v5.0.symbols"	"paths_c2.cp.v5.0.symbols"	"paths_c3.tft.v5.0.symbols"	"rank"
"AmplificationPeak3"	"CLK2"	0	0	311	0	0	0	0	0	""	""	""	69
"AmplificationPeak3"	"FDPS"	0	0	311	0	0	0	0	0	""	""	""	70
"AmplificationPeak3"	"MRPS14"	0	0	311	0	0	0	0	0	""	""	""	71
"AmplificationPeak3"	"DCAF8"	0	0	311	0	0	0	0	0	""	""	""	72
"AmplificationPeak3"	"USP21"	0	0	311	0	0	0	0	0	""	""	""	73
"AmplificationPeak3"	"CHD1L"	0	0	311	0	0	0	0	0	""	""	""	74
"AmplificationPeak3"	"SCYL3"	0	0	311	0	0	0	0	0	""	""	""	75
"AmplificationPeak3"	"PSMB4"	0	0	311	0	0	0	0	0	""	""	""	76
"AmplificationPeak3"	"SCNM1"	0	0	311	0	0	0	0	0	""	""	""	77
"AmplificationPeak3"	"HSD17B7"	0	0	311	0	0	0	0	0	""	""	""	78
"AmplificationPeak3"	"PFDN2"	0	0	311	0	0	0	0	0	""	""	""	79
"AmplificationPeak3"	"PIGM"	0	0	311	0	0	0	0	0	""	""	""	80
"AmplificationPeak3"	"COPA"	0	0	311	0	0	0	0	0	""	""	""	81
"AmplificationPeak3"	"MGST3"	0	0	311	0	0	0	0	0	""	""	""	82
"AmplificationPeak3"	"OTUD7B"	0	0	311	0	0	0	0	0	""	""	""	83
"AmplificationPeak3"	"GPR89A"	0	0	311	0	0	0	0	0	""	""	""	84
"AmplificationPeak3"	"SLC39A1"	0	0	311	0	0	0	0	0	""	""	""	85
"AmplificationPeak3"	"LAMTOR2"	0	0	311	0	0	0	0	0	""	""	""	86
"AmplificationPeak3"	"PYGO2"	0	0	311	0	0	0	0	0	""	""	""	87
"AmplificationPeak3"	"SNAPIN"	0	0	311	0	0	0	0	0	""	""	""	88
"AmplificationPeak3"	"TSEN15"	0	0	311	0	0	0	0	0	""	""	""	89
"AmplificationPeak3"	"PEX11B"	0	0	311	0	0	0	0	0	""	""	""	90
"AmplificationPeak3"	"F11R"	0	0	311	0	0	0	0	0	""	""	""	91
"AmplificationPeak3"	"DUSP12"	0	0	311	0	0	0	0	0	""	""	""	92
"AmplificationPeak3"	"PIGC"	0	0	311	0	0	0	0	0	""	""	""	93
"AmplificationPeak3"	"FAM189B"	0	0	311	0	0	0	0	0	""	""	""	94
"AmplificationPeak3"	"SHC1"	0	0	311	0	0	0	0	0	""	""	""	95
"AmplificationPeak3"	"GON4L"	0	0	311	0	0	0	0	0	""	""	""	96
"AmplificationPeak3"	"USF1"	0	0	311	0	0	0	0	0	""	""	""	97
"AmplificationPeak3"	"ADAR"	0	0	311	0	0	0	0	0	""	""	""	98
"AmplificationPeak3"	"TPR"	0	0	311	0	0	0	0	0	""	""	""	99
"AmplificationPeak3"	"TADA1"	0	0	311	0	0	0	0	0	""	""	""	100
"AmplificationPeak3"	"RUSC1"	0	0	311	0	0	0	0	0	""	""	""	101
"AmplificationPeak3"	"ARHGEF2"	0	0	311	0	0	0	0	0	""	""	""	102
"AmplificationPeak3"	"UAP1"	0	0	311	0	0	0	0	0	""	""	""	103
"AmplificationPeak3"	"CREB3L4"	0	0	311	0	0	0	0	0	""	""	""	104
"AmplificationPeak3"	"APOA1BP"	0	0	311	0	0	0	0	0	""	""	""	105
"AmplificationPeak3"	"GORAB"	0	0	311	0	0	0	0	0	""	""	""	106
"AmplificationPeak3"	"CENPL"	0	0	311	0	0	0	0	0	""	""	""	107
"AmplificationPeak3"	"GBA"	0	0	311	0	0	0	0	0	""	""	""	108
"AmplificationPeak3"	"RIT1"	0	0	311	0	0	0	0	0	""	""	""	109
"AmplificationPeak3"	"IVNS1ABP"	0	0	311	0	0	0	0	0	""	""	""	110
"AmplificationPeak3"	"FAM72D"	0	0	311	0	0	0	0	0	""	""	""	111
"AmplificationPeak3"	"ANP32E"	0	0	311	0	0	0	0	0	""	""	""	112
"AmplificationPeak3"	"GLRX2"	0	0	311	0	0	0	0	0	""	""	""	113
"AmplificationPeak3"	"ARPC5"	0	0	311	0	0	0	0	0	""	""	""	114
"AmplificationPeak3"	"NCSTN"	0	0	311	0	0	0	0	0	""	""	""	115
"AmplificationPeak3"	"EDEM3"	0	0	311	0	0	0	0	0	""	""	""	116
"AmplificationPeak3"	"PMVK"	0	0	311	0	0	0	0	0	""	""	""	117
"AmplificationPeak3"	"EFNA4"	0	0	311	0	0	0	0	0	""	""	""	118
"AmplificationPeak3"	"S100A11"	0	0	311	0	0	0	0	0	""	""	""	119
"AmplificationPeak3"	"CGN"	0	0	311	0	0	0	0	0	""	""	""	120
"AmplificationPeak3"	"IER5"	0	0	311	0	0	0	0	0	""	""	""	121
"AmplificationPeak3"	"METTL18"	0	0	311	0	0	0	0	0	""	""	""	122
"AmplificationPeak3"	"RNF2"	0	0	311	0	0	0	0	0	""	""	""	123
"AmplificationPeak3"	"CDC42SE1"	0	0	311	0	0	0	0	0	""	""	""	124
"AmplificationPeak3"	"IGSF9"	0	0	311	0	0	0	0	0	""	""	""	125
"AmplificationPeak3"	"PRRC2C"	0	0	311	0	0	0	0	0	""	""	""	126
"AmplificationPeak3"	"TSACC"	0	0	311	0	0	0	0	0	""	""	""	127
"AmplificationPeak3"	"C2CD4D"	0	0	311	0	0	0	0	0	""	""	""	128
"AmplificationPeak3"	"TDRKH"	0	0	311	0	0	0	0	0	""	""	""	129
"AmplificationPeak3"	"KRTCAP2"	0	0	311	0	0	0	0	0	""	""	""	130
"AmplificationPeak3"	"S100A6"	0	0	311	0	0	0	0	0	""	""	""	131
"AmplificationPeak3"	"HAX1"	0	0	311	0	0	0	0	0	""	""	""	132
"AmplificationPeak3"	"SSR2"	0	0	311	0	0	0	0	0	""	""	""	133
"AmplificationPeak3"	"HIST2H2BF"	0	0	311	0	0	0	0	0	""	""	""	134
"AmplificationPeak3"	"IGSF8"	0	0	311	0	0	0	0	0	""	""	""	135
"AmplificationPeak3"	"JTB"	0	0	311	0	0	0	0	0	""	""	""	136
"AmplificationPeak3"	"RAB13"	0	0	311	0	0	0	0	0	""	""	""	137
"AmplificationPeak3"	"EFNA1"	0	0	311	0	0	0	0	0	""	""	""	138
"AmplificationPeak3"	"GAS5"	0	0	311	0	0	0	0	0	""	""	""	139
"AmplificationPeak3"	"S100A10"	0	0	311	0	0	0	0	0	""	""	""	140
"AmplificationPeak3"	"BCAN"	0	0	311	0	0	0	0	0	""	""	""	141
"AmplificationPeak3"	"MPZL1"	0	0	311	0	0	0	0	0	""	""	""	142
"AmplificationPeak3"	"QSOX1"	0	0	311	0	0	0	0	0	""	""	""	143
"AmplificationPeak3"	"PRDX6"	0	0	311	0	0	0	0	0	""	""	""	144
"AmplificationPeak3"	"CDC73"	0	0	311	0	0	0	0	0	""	""	""	145
"AmplificationPeak3"	"CA14"	0	0	311	0	0	0	0	0	""	""	""	146
